Error 'No such file or directory' getting readlink() for file '/home/aron/Projects/bar/dead-target-keeps-moving-reproducer/data-master/games/Beyond-All-Reason.sdd'
key "AdvSky" is deprecated
Error in Initialize(): [string "LuaUI/Widgets/gui_pip.lua"]:9194: attempt to call field 'CreateShader' (a nil value)
DEAD_TARGET_SETUP variant=remove attacker=armcom#16864 at 3472.7,908.4 target=armflea(none) at 3472.7,1476.4 dist=568.0
DEAD_TARGET_ORDERS frame=30 pos=3472.7,908.4 speed=0.00 queue=1{10[3473,183,1476]} progress=active waypoint=3472.7,916.1 distToTargetSpot=568.0
DEAD_TARGET_DIAG frame=60 pos=3474.8,942.1 speed=1.25 queue=1{10[3473,183,1476]} progress=active waypoint=3480.0,1024.0 distToTargetSpot=534.3
DEAD_TARGET_DIAG frame=90 pos=3477.2,979.5 speed=1.25 queue=1{10[3473,183,1476]} progress=active waypoint=3480.0,1024.0 distToTargetSpot=496.9
DEAD_TARGET_DIAG frame=120 pos=3479.5,1017.0 speed=1.25 queue=1{10[3473,183,1476]} progress=active waypoint=3480.0,1024.0 distToTargetSpot=459.5
tag=1 frame=129 pos=3480.2,1028.2 speed=1.25 queue=0{} progress=active waypoint=3488.0,1152.0 distToTargetSpot=448.3
DEAD_TARGET_TRIGGER frame=129 removed active command id=10 tag=1 attackerPos=3480.2,1028.2
DEAD_TARGET_TRIGGERED frame=129 pos=3480.2,1028.2 speed=1.25 queue=0{} progress=active waypoint=3488.0,1152.0 distToTargetSpot=448.3
DEAD_TARGET_DIAG frame=134 pos=3480.6,1034.4 speed=1.25 queue=0{} progress=active waypoint=3488.0,1152.0 distToTargetSpot=442.0
DEAD_TARGET_DIAG frame=139 pos=3481.0,1040.7 speed=1.25 queue=0{} progress=active waypoint=3488.0,1152.0 distToTargetSpot=435.8
DEAD_TARGET_DIAG frame=144 pos=3481.4,1046.9 speed=1.25 queue=0{} progress=active waypoint=3488.0,1152.0 distToTargetSpot=429.6
DEAD_TARGET_DIAG frame=149 pos=3481.8,1053.1 speed=1.25 queue=0{} progress=active waypoint=3488.0,1152.0 distToTargetSpot=423.4
DEAD_TARGET_DIAG frame=154 pos=3482.2,1059.4 speed=1.25 queue=0{} progress=active waypoint=3488.0,1152.0 distToTargetSpot=417.1
DEAD_TARGET_DIAG frame=159 pos=3482.6,1065.6 speed=1.25 queue=0{} progress=active waypoint=3488.0,1152.0 distToTargetSpot=410.9
DEAD_TARGET_DIAG frame=164 pos=3483.0,1071.9 speed=1.25 queue=0{} progress=active waypoint=3488.0,1152.0 distToTargetSpot=404.7
DEAD_TARGET_DIAG frame=169 pos=3483.3,1078.1 speed=1.25 queue=0{} progress=active waypoint=3488.0,1152.0 distToTargetSpot=398.5
DEAD_TARGET_DIAG frame=174 pos=3483.7,1084.3 speed=1.25 queue=0{} progress=active waypoint=3488.0,1152.0 distToTargetSpot=392.2
DEAD_TARGET_DIAG frame=179 pos=3484.1,1090.6 speed=1.25 queue=0{} progress=active waypoint=3488.0,1152.0 distToTargetSpot=386.0
DEAD_TARGET_DIAG frame=184 pos=3484.5,1096.8 speed=1.25 queue=0{} progress=active waypoint=3488.0,1152.0 distToTargetSpot=379.8
DEAD_TARGET_DIAG frame=189 pos=3484.9,1103.0 speed=1.25 queue=0{} progress=active waypoint=3488.0,1152.0 distToTargetSpot=373.6
DEAD_TARGET_DIAG frame=219 pos=3487.3,1140.5 speed=1.25 queue=0{} progress=active waypoint=3488.0,1152.0 distToTargetSpot=336.3
DEAD_TARGET_DIAG frame=249 pos=3480.6,1177.1 speed=1.25 queue=0{} progress=active waypoint=3456.0,1280.0 distToTargetSpot=299.4
DEAD_TARGET_DIAG frame=279 pos=3471.9,1213.5 speed=1.25 queue=0{} progress=active waypoint=3456.0,1280.0 distToTargetSpot=262.9
DEAD_TARGET_DIAG frame=309 pos=3463.2,1249.9 speed=1.25 queue=0{} progress=active waypoint=3456.0,1280.0 distToTargetSpot=226.7
DEAD_TARGET_DIAG frame=339 pos=3457.0,1286.5 speed=1.25 queue=0{} progress=active waypoint=3456.0,1408.0 distToTargetSpot=190.5
DEAD_TARGET_DIAG frame=369 pos=3456.6,1324.0 speed=1.25 queue=0{} progress=active waypoint=3456.0,1408.0 distToTargetSpot=153.3
DEAD_TARGET_DIAG frame=399 pos=3456.4,1361.4 speed=1.25 queue=0{} progress=active waypoint=3456.0,1408.0 distToTargetSpot=116.2
DEAD_TARGET_DIAG frame=429 pos=3456.1,1398.9 speed=1.25 queue=0{} progress=active waypoint=3456.0,1408.0 distToTargetSpot=79.3
DEAD_TARGET_DIAG frame=459 pos=3455.6,1435.1 speed=1.25 queue=0{} progress=active waypoint=3456.0,1464.0 distToTargetSpot=44.7
